epoch,step,train_loss
1,49,0.6435262560844421
3,99,0.5837803483009338
4,149,0.5932512879371643
6,199,0.6761801242828369
7,249,0.7164783477783203
9,299,0.7572372555732727
10,349,0.6832458972930908
12,399,0.6213259696960449
13,449,0.6228235960006714
15,499,0.5955292582511902
16,549,0.6775026321411133
18,599,0.6978272199630737
19,649,0.674755871295929
