epoch,step,train_loss,val_acc,val_loss
0,49,0.5941683053970337,,
0,99,0.5752584338188171,,
0,149,0.6467801928520203,,
0,199,0.7598329186439514,,
0,249,0.5307965278625488,,
0,267,,0.6912751793861389,0.6236521005630493
1,299,0.6565375328063965,,
1,349,0.6003381609916687,,
1,399,0.6737200021743774,,
1,449,0.5952107310295105,,
1,499,0.533574104309082,,
1,535,,0.6912751793861389,0.6199347972869873
2,549,0.5610336661338806,,
2,599,0.7509669065475464,,
2,649,0.6225522756576538,,
2,699,0.5941222906112671,,
2,749,0.644596517086029,,
2,799,0.6642857789993286,,
2,803,,0.6912751793861389,0.619817316532135
3,849,0.5953894257545471,,
3,899,0.5947478413581848,,
3,949,0.8051141500473022,,
3,999,0.6771059036254883,,
3,1049,0.6284061670303345,,
3,1071,,0.6912751793861389,0.6184148788452148
4,1099,0.43105530738830566,,
4,1149,0.4937605559825897,,
4,1199,0.5213806629180908,,
4,1249,0.7129306793212891,,
4,1299,0.5976842641830444,,
4,1339,,0.6912751793861389,0.6205439567565918
5,1349,0.6213736534118652,,
5,1399,0.5960359573364258,,
5,1449,0.5611890554428101,,
5,1499,0.621516764163971,,
5,1549,0.4201127588748932,,
5,1599,0.5937351584434509,,
5,1607,,0.6912751793861389,0.6182885766029358
6,1649,0.5960747003555298,,
6,1699,0.5934963822364807,,
6,1749,0.5350479483604431,,
6,1799,0.6262836456298828,,
6,1849,0.6226292848587036,,
6,1875,,0.6912751793861389,0.6194214820861816
7,1899,0.6443095803260803,,
7,1949,0.5677310824394226,,
7,1999,0.6446239948272705,,
7,2049,0.6483017802238464,,
7,2099,0.6223500967025757,,
7,2143,,0.6912751793861389,0.619614839553833
8,2149,0.6273207664489746,,
8,2199,0.6685970425605774,,
8,2249,0.6509559750556946,,
8,2299,0.5266823172569275,,
8,2349,0.622347891330719,,
8,2399,0.65146404504776,,
8,2411,,0.6912751793861389,0.6186583042144775
9,2449,0.6489675045013428,,
9,2499,0.5099206566810608,,
9,2549,0.509665310382843,,
9,2599,0.5615386366844177,,
9,2649,0.6587057113647461,,
9,2679,,0.6912751793861389,0.6182501912117004
10,2699,0.5463703870773315,,
10,2749,0.5947739481925964,,
10,2799,0.5949217677116394,,
10,2849,0.5409091711044312,,
10,2899,0.5766602158546448,,
10,2947,,0.6912751793861389,0.6194661259651184
11,2949,0.5083116888999939,,
11,2999,0.5657829642295837,,
11,3049,0.6087822318077087,,
11,3099,0.5204250812530518,,
11,3149,0.6782166957855225,,
11,3199,0.5968502163887024,,
11,3215,,0.6912751793861389,0.6187836527824402
12,3249,0.6210557222366333,,
12,3299,0.5907188653945923,,
12,3349,0.5942869782447815,,
12,3399,0.6738932728767395,,
12,3449,0.6530722379684448,,
12,3483,,0.6912751793861389,0.6186816096305847
13,3499,0.516144871711731,,
13,3549,0.6609379053115845,,
13,3599,0.5465173721313477,,
13,3649,0.47816434502601624,,
13,3699,0.644614577293396,,
13,3749,0.5663086175918579,,
13,3751,,0.6912751793861389,0.6201854348182678
14,3799,0.6193274855613708,,
14,3849,0.6217484474182129,,
14,3899,0.7168294191360474,,
14,3949,0.621488094329834,,
14,3999,0.7017552256584167,,
14,4019,,0.6912751793861389,0.6190000772476196
15,4049,0.6261520385742188,,
15,4099,0.535183310508728,,
15,4149,0.6465619802474976,,
15,4199,0.7300140857696533,,
15,4249,0.621127724647522,,
15,4287,,0.6912751793861389,0.6182125806808472
16,4299,0.5754497051239014,,
16,4349,0.5263870358467102,,
16,4399,0.5316590666770935,,
16,4449,0.5100381374359131,,
