2024-03-13 00:32:26,085 INFO    Thread-12 :149322 [dir_watcher.py:_on_file_created():271] file/dir created: ./wandb/run-20240313_003224-h4tysguh/files/requirements.txt
2024-03-13 00:32:26,852 DEBUG   SenderThread:149322 [sender.py:send():378] send: config
2024-03-13 00:32:27,486 DEBUG   SenderThread:149322 [sender.py:send():378] send: config
2024-03-13 00:32:27,850 DEBUG   HandlerThread:149322 [handler.py:handle_request():146] handle_request: log_artifact
2024-03-13 00:32:27,851 DEBUG   SenderThread:149322 [sender.py:send_request():405] send_request: log_artifact
2024-03-13 00:32:27,998 INFO    wandb-upload_0:149322 [upload_job.py:push():131] Uploaded file /tmp/tmpq0cs606wwandb/hsnrzxcb-wandb-metadata.json
2024-03-13 00:32:28,084 INFO    Thread-12 :149322 [dir_watcher.py:_on_file_modified():288] file/dir modified: ./wandb/run-20240313_003224-h4tysguh/files/output.log
2024-03-13 00:32:28,084 INFO    Thread-12 :149322 [dir_watcher.py:_on_file_created():271] file/dir created: ./wandb/run-20240313_003224-h4tysguh/files/media/table/conf_table_0_18fd2a7f4bcc1c12b50c.table.json
2024-03-13 00:32:28,085 INFO    Thread-12 :149322 [dir_watcher.py:_on_file_created():271] file/dir created: ./wandb/run-20240313_003224-h4tysguh/files/media
2024-03-13 00:32:28,085 INFO    Thread-12 :149322 [dir_watcher.py:_on_file_created():271] file/dir created: ./wandb/run-20240313_003224-h4tysguh/files/media/table
2024-03-13 00:32:28,401 DEBUG   HandlerThread:149322 [handler.py:handle_request():146] handle_request: partial_history
2024-03-13 00:32:28,781 DEBUG   HandlerThread:149322 [handler.py:handle_request():146] handle_request: log_artifact
2024-03-13 00:32:28,788 DEBUG   HandlerThread:149322 [handler.py:handle_request():146] handle_request: partial_history
2024-03-13 00:32:28,808 INFO    wandb-upload_0:149322 [upload_job.py:push():131] Uploaded file /tmp/tmpq0cs606wwandb/3fwfqmns-media/table/conf_table_0_18fd2a7f4bcc1c12b50c.table.json
2024-03-13 00:32:29,084 INFO    Thread-12 :149322 [dir_watcher.py:_on_file_modified():288] file/dir modified: ./wandb/run-20240313_003224-h4tysguh/files/output.log
2024-03-13 00:32:29,085 INFO    Thread-12 :149322 [dir_watcher.py:_on_file_created():271] file/dir created: ./wandb/run-20240313_003224-h4tysguh/files/media/table/examples_1_2dea9552e1f0a50cc30e.table.json
2024-03-13 00:32:29,085 INFO    Thread-12 :149322 [dir_watcher.py:_on_file_modified():288] file/dir modified: ./wandb/run-20240313_003224-h4tysguh/files/media/table
2024-03-13 00:32:29,813 INFO    wandb-upload_0:149322 [upload_job.py:push():89] Uploaded file /home/ngin/.local/share/wandb/artifacts/staging/tmpqwrr8bin
2024-03-13 00:32:30,085 INFO    Thread-12 :149322 [dir_watcher.py:_on_file_modified():288] file/dir modified: ./wandb/run-20240313_003224-h4tysguh/files/output.log
2024-03-13 00:32:30,385 INFO    wandb-upload_1:149322 [upload_job.py:push():131] Uploaded file /tmp/tmpq0cs606wwandb/c2562vlc-media/table/examples_1_2dea9552e1f0a50cc30e.table.json
